id,timestamp,production_kw,grid_kw,consumption_kw,production_lifetime_kwh,grid_imported_lifetime_kwh,grid_exported_lifetime_kwh
1,1774219068,0.0289,0.2907,0.3196,33286.0615,36892.4819,24076.0828
2,1774219083,0.0363,0.3044,0.3407,33286.0615,36892.4819,24076.0828
3,1774219097,0.0354,0.29,0.32539999999999997,33286.0615,36892.4819,24076.0828
4,1774219112,0.0523,0.2706,0.3229,33286.0615,36892.4819,24076.0828
5,1774219126,0.0307,0.2938,0.3245,33286.0615,36892.4819,24076.0828
6,1774219141,0.0337,0.2947,0.3284,33286.0615,36892.4819,24076.0828
7,1774219155,0.0371,0.2839,0.321,33286.0615,36892.4819,24076.0828
8,1774219171,0.032,0.2869,0.31889999999999996,33286.0615,36892.4819,24076.0828
9,1774219185,0.024,0.2317,0.2557,33286.0615,36892.4819,24076.0828
10,1774219200,0.0161,0.2579,0.274,33286.0615,36892.4819,24076.0828
11,1774219214,0.0189,0.2848,0.30369999999999997,33286.0615,36892.4915,24076.0828
12,1774219229,0.0251,0.2978,0.3229,33286.0615,36892.4915,24076.0828
13,1774219243,0.0112,0.2921,0.3033,33286.0615,36892.4915,24076.0828
14,1774219258,0.0277,0.2774,0.3051,33286.0615,36892.4915,24076.0828
15,1774219273,0.0229,0.2763,0.29919999999999997,33286.0615,36892.4915,24076.0828
16,1774219287,0.0157,0.2894,0.3051,33286.0615,36892.4915,24076.0828
17,1774219302,0.027,0.2701,0.29710000000000003,33286.0615,36892.4915,24076.0828
18,1774219316,0.0203,0.2778,0.2981,33286.0615,36892.4915,24076.0828
19,1774219331,0.0233,0.2797,0.303,33286.0615,36892.5012,24076.0828
20,1774219346,0.0186,0.2914,0.31,33286.0615,36892.5012,24076.0828
21,1774219360,0.0214,0.2815,0.30289999999999995,33286.0615,36892.5012,24076.0828
22,1774219375,0.0261,0.2723,0.2984,33286.0615,36892.5012,24076.0828
23,1774219389,0.0266,0.2686,0.2952,33286.0615,36892.5012,24076.0828
24,1774219404,0.0235,0.4966,0.5201,33286.0615,36892.5012,24076.0828
25,1774219418,0.0344,0.4849,0.5193,33286.0615,36892.5012,24076.0828
26,1774219433,0.027,0.4913,0.5183,33286.0615,36892.5012,24076.0828
27,1774219447,0.0191,0.498,0.5171,33286.0615,36892.5108,24076.0828
28,1774219462,0.0202,0.4946,0.5148,33286.0615,36892.5108,24076.0828
29,1774219477,0.0209,0.496,0.5169,33286.0615,36892.5108,24076.0828
30,1774219491,0.0178,0.5864,0.6042000000000001,33286.0615,36892.5108,24076.0828
31,1774219506,0.0132,0.5905,0.6037,33286.0615,36892.5204,24076.0828
32,1774219520,0.0226,0.5045,0.5270999999999999,33286.0615,36892.5204,24076.0828
33,1774219535,0.0209,0.5014,0.5223,33286.0615,36892.5204,24076.0828
34,1774219550,0.0161,0.494,0.5101,33286.0615,36892.5204,24076.0828
35,1774219564,0.0157,0.4957,0.5114,33286.0615,36892.5204,24076.0828
36,1774219579,0.0121,0.4657,0.4778,33286.0615,36892.5301,24076.0828
37,1774219594,0.0246,0.4419,0.4665,33286.0615,36892.5301,24076.0828
38,1774219608,0.0131,0.4671,0.4802,33286.0615,36892.5301,24076.0828
39,1774219623,0.0186,0.458,0.4766,33286.0615,36892.5301,24076.0828
40,1774219637,0.0219,0.4481,0.47,33286.0615,36892.5301,24076.0828
41,1774219652,0.012,0.4798,0.4918,33286.0615,36892.5301,24076.0828
42,1774219666,0.0134,0.4534,0.46680000000000005,33286.0615,36892.5397,24076.0828
43,1774219681,0.0077,0.4553,0.46299999999999997,33286.0615,36892.5397,24076.0828
44,1774219696,0.0149,0.4542,0.4691,33286.0615,36892.5397,24076.0828
45,1774219710,0.011,0.4489,0.45990000000000003,33286.0615,36892.5397,24076.0828
46,1774219725,0.0058,0.454,0.4598,33286.0615,36892.5397,24076.0828
47,1774219739,0.0124,0.4408,0.45320000000000005,33286.0615,36892.5494,24076.0828
48,1774219754,0.0113,0.4458,0.45709999999999995,33286.0615,36892.5494,24076.0828
49,1774219769,0.0104,0.458,0.46840000000000004,33286.0615,36892.5494,24076.0828
50,1774219783,0.0107,0.4469,0.4576,33286.0615,36892.5494,24076.0828
51,1774219797,0.0103,0.4388,0.4491,33286.0615,36892.5494,24076.0828
52,1774219805,0.0076,0.4517,0.4593,33286.0615,36892.5494,24076.0828
53,1774219813,0.0108,0.4511,0.4619,33286.0615,36892.5494,24076.0828
54,1774219820,0.0112,0.4377,0.44889999999999997,33286.0615,36892.559,24076.0828
55,1774219827,0.0055,0.4618,0.4673,33286.0615,36892.559,24076.0828
56,1774219834,0.0052,0.4579,0.46309999999999996,33286.0615,36892.559,24076.0828
57,1774219842,0.0075,0.4527,0.4602,33286.0615,36892.559,24076.0828
58,1774219849,0.0096,0.4727,0.4823,33286.0615,36892.559,24076.0828
59,1774219857,0.0077,0.4555,0.4632,33286.0615,36892.559,24076.0828
60,1774219863,0.0,0.4581,0.4581,33286.0615,36892.559,24076.0828
61,1774219871,0.0081,0.5049,0.513,33286.0615,36892.559,24076.0828
62,1774219878,0.0087,0.4937,0.5024000000000001,33286.0615,36892.5686,24076.0828
63,1774219886,0.0,0.4825,0.4825,33286.0615,36892.5686,24076.0828
64,1774219893,0.0075,0.4677,0.4752,33286.0615,36892.5686,24076.0828
65,1774219901,0.0,0.4866,0.4866,33286.0615,36892.5783,24076.0828
66,1774219907,0.0,0.4815,0.4815,33286.0615,36892.5783,24076.0828
67,1774219915,0.0,0.4633,0.4633,33286.0615,36892.5783,24076.0828
68,1774219922,0.0,0.466,0.466,33286.0615,36892.5783,24076.0828
69,1774219930,0.0,0.4652,0.4652,33286.0615,36892.5783,24076.0828
70,1774219936,0.0,0.4894,0.4894,33286.0615,36892.5783,24076.0828
71,1774219944,0.0,0.4659,0.4659,33286.0615,36892.5783,24076.0828
72,1774219951,0.0049,0.46,0.46490000000000004,33286.0615,36892.5783,24076.0828
73,1774219959,0.0,0.4485,0.4485,33286.0615,36892.5783,24076.0828
74,1774219965,0.0104,0.4454,0.45580000000000004,33286.0615,36892.5783,24076.0828
75,1774219973,0.005,0.4465,0.4515,33286.0615,36892.5783,24076.0828
76,1774219980,0.0,0.4685,0.4685,33286.0615,36892.5783,24076.0828
